时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-21T11:53:21.480Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9722,-0.1963,0.1411,-8.42,-1.95,-0.43,-4.38,-14.71,0.85,0.990967,-0.037537,-0.128448,0.002350
"2025-04-21T11:53:21.481Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9722,-0.1963,0.1411,-8.42,-1.95,-0.43,-4.38,-14.71,0.85,0.990967,-0.037537,-0.128448,0.002350
"2025-04-21T11:53:21.482Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9722,-0.1963,0.1411,-8.42,-1.95,-0.43,-4.38,-14.71,0.85,0.990967,-0.037537,-0.128448,0.002350
"2025-04-21T11:53:21.515Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0083,0.0103,1.0249,0.00,-0.06,-0.06,0.54,-0.48,-163.76,0.141205,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.516Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0083,0.0103,1.0249,0.00,-0.06,-0.06,0.54,-0.48,-163.76,0.141205,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.516Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0083,0.0103,1.0249,0.00,-0.06,-0.06,0.54,-0.48,-163.76,0.141205,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.694Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0088,0.0093,1.0254,0.00,-0.06,-0.12,0.54,-0.49,-163.76,0.141205,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.695Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0088,0.0093,1.0254,0.00,-0.06,-0.12,0.54,-0.49,-163.76,0.141205,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.696Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0088,0.0093,1.0254,0.00,-0.06,-0.12,0.54,-0.49,-163.76,0.141205,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.779Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9756,-0.0791,0.1221,10.01,-0.55,-1.04,-12.88,-57.69,6.61,0.872040,-0.070007,-0.484283,-0.003632
"2025-04-21T11:53:21.780Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9756,-0.0791,0.1221,10.01,-0.55,-1.04,-12.88,-57.69,6.61,0.872040,-0.070007,-0.484283,-0.003632
"2025-04-21T11:53:21.781Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9756,-0.0791,0.1221,10.01,-0.55,-1.04,-12.88,-57.69,6.61,0.872040,-0.070007,-0.484283,-0.003632
"2025-04-21T11:53:21.870Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9775,-0.1523,0.1235,6.35,-1.28,-1.71,-14.64,-62.78,8.67,0.849243,-0.069427,-0.523315,-0.002167
"2025-04-21T11:53:21.871Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9775,-0.1523,0.1235,6.35,-1.28,-1.71,-14.64,-62.78,8.67,0.849243,-0.069427,-0.523315,-0.002167
"2025-04-21T11:53:21.871Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9775,-0.1523,0.1235,6.35,-1.28,-1.71,-14.64,-62.78,8.67,0.849243,-0.069427,-0.523315,-0.002167
"2025-04-21T11:53:21.935Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0083,0.0098,1.0244,0.00,0.00,-0.06,0.54,-0.49,-163.76,0.141235,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.936Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0083,0.0098,1.0244,0.00,0.00,-0.06,0.54,-0.49,-163.76,0.141235,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.937Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0083,0.0098,1.0244,0.00,0.00,-0.06,0.54,-0.49,-163.76,0.141235,-0.003540,-0.005310,-0.989899
"2025-04-21T11:53:21.959Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9790,-0.0991,0.1470,-14.22,0.00,5.86,-19.05,-67.26,12.76,0.826172,-0.076202,-0.558167,0.000122
"2025-04-21T11:53:21.960Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9790,-0.0991,0.1470,-14.22,0.00,5.86,-19.05,-67.26,12.76,0.826172,-0.076202,-0.558167,0.000122
"2025-04-21T11:53:21.961Z",k1JCV1QfOk+nKoeOlnng/A==,"WT901BLE67",0.9790,-0.0991,0.1470,-14.22,0.00,5.86,-19.05,-67.26,12.76,0.826172,-0.076202,-0.558167,0.000122
"2025-04-21T11:53:22.025Z",s1vnFCHDE88wywe5tepp/A==,"WT901BLE67",0.0083,0.0093,1.0244,0.00,-0.06,-0.06,0.54,-0.49,-163.76,0.141235,-0.003540,-0.005310,-0.989899
