时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-20T04:22:36.903Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.904Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.904Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.991Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.992Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.993Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.993Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.994Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.994Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.080Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.081Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.082Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.083Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.084Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.084Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.141Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.142Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.143Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.144Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.145Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.146Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.320Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.321Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.322Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.323Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.323Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.324Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.381Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
